IYS_Specimen_ID,IAgroup
IYS2022-NW-2-6-CanTrawl-3-44,Cook_Inlet
IYS2022-NW-2-6-CanTrawl-3-45,Western_AK_BBay
IYS2022-NW-2-7-CanTrawl-2-2,Western_AK_BBay
IYS2022-NW-2-7-CanTrawl-2-3,Western_AK_BBay
IYS2022-NW-2-7-CanTrawl-2-4,Western_AK_BBay
IYS2022-NW-2-7-CanTrawl-2-5,Western_AK_BBay
IYS2022-NW-2-7-CanTrawl-2-6,Western_AK_BBay
IYS2022-NW-2-7-CanTrawl-2-7,BC_WA
IYS2022-NW-2-7-CanTrawl-2-8,Western_AK_BBay
IYS2022-NW-2-7-CanTrawl-2-9,Western_AK_BBay
IYS2022-NW-2-7-CanTrawl-2-10,Western_AK_BBay
IYS2022-NW-2-8-CanTrawl-4-1,Western_AK_BBay
IYS2022-NW-2-8-CanTrawl-4-2,Western_AK_BBay
IYS2022-NW-2-8-CanTrawl-4-3,Western_AK_BBay
IYS2022-NW-2-8-CanTrawl-4-4,Western_AK_BBay
IYS2022-NW-2-8-CanTrawl-4-5,Western_AK_BBay
IYS2022-NW-2-8-CanTrawl-4-6,Western_AK_BBay
IYS2022-NW-2-8-CanTrawl-4-7,Western_AK_BBay
IYS2022-NW-2-8-CanTrawl-4-8,Western_AK_BBay
IYS2022-NW-2-11-CanTrawl-1-1,Western_AK_BBay
IYS2022-NW-2-11-CanTrawl-1-2,Western_AK_BBay
IYS2022-NW-2-11-CanTrawl-1-3,Western_AK_BBay
IYS2022-NW-2-11-CanTrawl-1-4,Western_AK_BBay
IYS2022-NW-2-11-CanTrawl-1-5,Western_AK_BBay
IYS2022-NW-2-11-CanTrawl-1-6,Western_AK_BBay
IYS2022-NW-2-11-CanTrawl-1-7,Western_AK_BBay
IYS2022-NW-2-11-CanTrawl-1-8,Western_AK_BBay
IYS2022-NW-2-12-CanTrawl-4-1,Western_AK_BBay
IYS2022-NW-2-12-CanTrawl-4-2,Western_AK_BBay
IYS2022-NW-2-12-CanTrawl-4-3,Western_AK_BBay
IYS2022-NW-2-12-CanTrawl-4-4,Western_AK_BBay
IYS2022-NW-2-12-CanTrawl-4-5,Western_AK_BBay
IYS2022-NW-2-12-CanTrawl-4-6,Western_AK_BBay
IYS2022-NW-2-12-CanTrawl-4-7,Western_AK_BBay
IYS2022-NW-2-12-CanTrawl-4-8,Western_AK_BBay
IYS2022-NW-2-12-CanTrawl-4-9,Western_AK_BBay
IYS2022-NW-2-12-CanTrawl-4-10,Western_AK_BBay
IYS2022-NW-2-13-CanTrawl-5-27,Western_AK_BBay
IYS2022-NW-2-13-CanTrawl-5-28,Western_AK_BBay
IYS2022-NW-2-13-CanTrawl-5-29,Western_AK_BBay
IYS2022-NW-2-13-CanTrawl-5-30,AK_Pen_Kodiak_Afognak
IYS2022-NW-2-13-CanTrawl-5-31,Russia
IYS2022-NW-2-13-CanTrawl-5-32,Cook_Inlet
IYS2022-NW-2-13-CanTrawl-5-33,Western_AK_BBay
IYS2022-NW-2-13-CanTrawl-5-34,Western_AK_BBay
IYS2022-NW-2-14-CanTrawl-3-1,AK_Pen_Kodiak_Afognak
IYS2022-NW-2-14-CanTrawl-3-2,Western_AK_BBay
IYS2022-NW-2-14-CanTrawl-3-3,Western_AK_BBay
IYS2022-NW-2-14-CanTrawl-3-5,Western_AK_BBay
IYS2022-NW-2-14-CanTrawl-3-6,Western_AK_BBay
IYS2022-NW-2-14-CanTrawl-3-8,Cook_Inlet
IYS2022-NW-2-14-CanTrawl-3-9,Western_AK_BBay
IYS2022-NW-2-14-CanTrawl-3-10,Western_AK_BBay
IYS2022-NW-2-14-CanTrawl-3-11,Western_AK_BBay
IYS2022-NW-2-14-CanTrawl-3-12,Western_AK_BBay
IYS2022-NW-2-14-CanTrawl-3-13,Western_AK_BBay
IYS2022-NW-2-14-CanTrawl-3-15,Western_AK_BBay
IYS2022-NW-2-14-CanTrawl-3-16,BC_WA
IYS2022-NW-2-14-CanTrawl-3-17,BC_WA
IYS2022-NW-2-14-CanTrawl-3-20,Western_AK_BBay
IYS2022-NW-2-14-CanTrawl-3-21,Cook_Inlet
IYS2022-NW-2-14-CanTrawl-3-22,AK_Pen_Kodiak_Afognak
IYS2022-NW-2-14-CanTrawl-3-23,Western_AK_BBay
IYS2022-NW-2-14-CanTrawl-3-24,Western_AK_BBay
IYS2022-NW-2-14-CanTrawl-3-25,Western_AK_BBay
IYS2022-NW-2-14-CanTrawl-3-26,Western_AK_BBay
IYS2022-NW-2-15-CanTrawl-4-26,Western_AK_BBay
IYS2022-NW-2-15-CanTrawl-4-27,Russia
IYS2022-NW-2-15-CanTrawl-4-29,AK_Pen_Kodiak_Afognak
IYS2022-NW-2-15-CanTrawl-4-30,PWS_CopperR_SEAK
IYS2022-NW-2-15-CanTrawl-4-31,Western_AK_BBay
IYS2022-NW-2-15-CanTrawl-4-32,Western_AK_BBay
IYS2022-NW-2-15-CanTrawl-4-34,Western_AK_BBay
IYS2022-NW-2-15-CanTrawl-4-35,Western_AK_BBay
IYS2022-NW-2-15-CanTrawl-4-36,Western_AK_BBay
IYS2022-NW-2-14-CanTrawl-3-27,Western_AK_BBay
IYS2022-NW-2-16-CanTrawl-5-38,BC_WA
IYS2022-NW-2-16-CanTrawl-5-39,Cook_Inlet
IYS2022-NW-2-16-CanTrawl-5-40,Cook_Inlet
IYS2022-NW-2-16-CanTrawl-5-41,Western_AK_BBay
IYS2022-NW-2-16-CanTrawl-5-42,Western_AK_BBay
IYS2022-NW-2-16-CanTrawl-5-43,BC_WA
IYS2022-NW-2-16-CanTrawl-5-44,Western_AK_BBay
IYS2022-NW-2-16-CanTrawl-5-45,Western_AK_BBay
IYS2022-NW-2-16-CanTrawl-5-46,BC_WA
IYS2022-NW-2-16-CanTrawl-5-47,Western_AK_BBay
IYS2022-NW-2-17-CanTrawl-3-56,Western_AK_BBay
IYS2022-NW-2-17-CanTrawl-3-57,Cook_Inlet
IYS2022-NW-2-17-CanTrawl-3-58,AK_Pen_Kodiak_Afognak
IYS2022-NW-2-17-CanTrawl-3-59,Western_AK_BBay
IYS2022-NW-2-17-CanTrawl-3-60,Russia
