IYS_Specimen_ID,GCLcard_position,IAgroup
IYS2022-NW-2-5-CanTrawl-2-29,0000063319_6,Western_AK_BBay
IYS2022-NW-2-5-CanTrawl-2-30,0000063319_8,Cook_Inlet
IYS2022-NW-2-5-CanTrawl-2-31,0000063319_7,BC_WA
IYS2022-NW-2-6-CanTrawl-3-33,0000063268_1,AK_Pen_Kodiak_Afognak
IYS2022-NW-2-6-CanTrawl-3-34,0000063268_2,Western_AK_BBay
IYS2022-NW-2-6-CanTrawl-3-35,0000063268_3,Western_AK_BBay
IYS2022-NW-2-6-CanTrawl-3-38,0000063268_6,Cook_Inlet
IYS2022-NW-2-6-CanTrawl-3-39,0000063268_7,Western_AK_BBay
IYS2022-NW-2-6-CanTrawl-3-43,0000063336_1,Cook_Inlet
IYS2022-NW-2-6-CanTrawl-3-44,0000063336_2,Cook_Inlet
IYS2022-NW-2-6-CanTrawl-3-45,0000063336_3,Western_AK_BBay
IYS2022-NW-2-7-CanTrawl-2-2,0000063276_2,Western_AK_BBay
IYS2022-NW-2-7-CanTrawl-2-3,0000063276_3,Western_AK_BBay
IYS2022-NW-2-7-CanTrawl-2-4,0000063276_4,Western_AK_BBay
IYS2022-NW-2-7-CanTrawl-2-5,0000063276_5,Western_AK_BBay
IYS2022-NW-2-7-CanTrawl-2-6,0000063276_6,Western_AK_BBay
IYS2022-NW-2-7-CanTrawl-2-7,0000063276_7,BC_WA
IYS2022-NW-2-7-CanTrawl-2-8,0000063276_8,Western_AK_BBay
IYS2022-NW-2-7-CanTrawl-2-9,0000063276_9,Western_AK_BBay
IYS2022-NW-2-7-CanTrawl-2-10,0000063276_10,Western_AK_BBay
IYS2022-NW-2-8-CanTrawl-4-1,0000061046_1,Western_AK_BBay
IYS2022-NW-2-8-CanTrawl-4-2,0000061046_2,Western_AK_BBay
IYS2022-NW-2-8-CanTrawl-4-3,0000061046_3,Western_AK_BBay
IYS2022-NW-2-8-CanTrawl-4-4,0000061046_4,Western_AK_BBay
IYS2022-NW-2-8-CanTrawl-4-5,0000061046_5,Western_AK_BBay
IYS2022-NW-2-8-CanTrawl-4-6,0000061046_6,Western_AK_BBay
IYS2022-NW-2-8-CanTrawl-4-7,0000061046_7,Western_AK_BBay
IYS2022-NW-2-8-CanTrawl-4-8,0000061046_8,Western_AK_BBay
IYS2022-NW-2-11-CanTrawl-1-1,0000062607_1,Western_AK_BBay
IYS2022-NW-2-11-CanTrawl-1-2,0000062607_2,Western_AK_BBay
